UUID,SDATE,CODE,NAME,CLASSIFY,OPEN,CLOSE,HIGH,LOW,VOLUME,AMOUNT,Y_CLOSE,P_CHANGE,P_CHANGE_RATE,TURNOVER,MARKETCAP,FAMC,ZBS
3f66c48a-a099-11e8-b522-56137984902b,2017/8/15,000001_SSE,上证指数,指数,3235.2298,3251.2617,3263.5892,3235.1013,182297997,204596000000.00 ,3237.3602,13.9015,0.4294,0,0,0,0
3f66c48b-a099-11e8-858d-56137984902b,2017/8/14,000001_SSE,上证指数,指数,3206.0436,3237.3602,3240.0517,3206.0436,190346796,209096000000.00 ,3208.5413,28.8189,0.8982,0,0,0,0
3f66c48c-a099-11e8-a243-56137984902b,2017/8/11,000001_SSE,上证指数,指数,3237.9222,3208.5413,3245.1163,3200.7481,262962995,266998000000.00 ,3261.7494,-53.2081,-1.6313,0,0,0,0
3f66c48d-a099-11e8-b758-56137984902b,2017/8/10,000001_SSE,上证指数,指数,3269.7347,3261.7494,3282.519,3236.1829,240684622,251854000000.00 ,3275.573,-13.8236,-0.422,0,0,0,0
3f66c48e-a099-11e8-8f2a-56137984902b,2017/8/9,000001_SSE,上证指数,指数,3277.8083,3275.573,3277.9433,3263.8468,235597907,237815000000.00 ,3281.8728,-6.2998,-0.192,0,0,0,0
3f66c48f-a099-11e8-b9f9-56137984902b,2017/8/8,000001_SSE,上证指数,指数,3277.1887,3281.8728,3285.4833,3269.6582,252043537,255770000000.00 ,3279.4566,2.4162,0.0737,0,0,0,0
3f66c490-a099-11e8-b9c1-56137984902b,2017/8/7,000001_SSE,上证指数,指数,3257.67,3279.4566,3280.1035,3243.7153,231173379,231874000000.00 ,3262.0809,17.3757,0.5327,0,0,0,0
3f66c491-a099-11e8-b169-56137984902b,2017/8/4,000001_SSE,上证指数,指数,3269.3182,3262.0809,3287.1929,3261.3066,275906340,285635000000.00 ,3272.9286,-10.8477,-0.3314,0,0,0,0
3f66c492-a099-11e8-91a7-56137984902b,2017/8/3,000001_SSE,上证指数,指数,3279.9864,3272.9286,3293.3686,3262.1554,233277004,243550000000.00 ,3285.0568,-12.1282,-0.3692,0,0,0,0
3f66c493-a099-11e8-ad8b-56137984902b,2017/8/2,000001_SSE,上证指数,指数,3288.5183,3285.0568,3305.4313,3282.0377,266730628,279352000000.00 ,3292.6383,-7.5815,-0.2303,0,0,0,0
3f66c494-a099-11e8-98c0-56137984902b,2017/8/1,000001_SSE,上证指数,指数,3274.3685,3292.6383,3292.6383,3273.5038,237194594,256420000000.00 ,3273.0283,19.61,0.5991,0,0,0,0
3f66c495-a099-11e8-96bd-56137984902b,2017/7/31,000001_SSE,上证指数,指数,3252.7519,3273.0283,3276.9461,3251.1941,246039440,253526000000.00 ,3253.2404,19.7879,0.6083,0,0,0,0
3f66c496-a099-11e8-bdf3-56137984902b,2017/7/28,000001_SSE,上证指数,指数,3240.1728,3253.2404,3256.3706,3232.9634,182226880,198429000000.00 ,3249.7814,3.459,0.1064,0,0,0,0
3f66c497-a099-11e8-9292-56137984902b,2017/7/27,000001_SSE,上证指数,指数,3243.765,3249.7814,3251.9261,3220.6366,228485945,242572000000.00 ,3247.6748,2.1066,0.0649,0,0,0,0
3f66c498-a099-11e8-83b1-56137984902b,2017/7/26,000001_SSE,上证指数,指数,3244.4608,3247.6748,3264.8483,3228.0389,213542005,228461000000.00 ,3243.6894,3.9854,0.1229,0,0,0,0
3f66c499-a099-11e8-bafb-56137984902b,2017/7/25,000001_SSE,上证指数,指数,3249.1376,3243.6894,3261.6454,3233.1376,205573873,213405000000.00 ,3250.5989,-6.9095,-0.2126,0,0,0,0
3f66c49a-a099-11e8-bc0b-56137984902b,2017/7/24,000001_SSE,上证指数,指数,3230.898,3250.5989,3261.1046,3230.0705,233056399,250631000000.00 ,3237.9817,12.6172,0.3897,0,0,0,0
3f66c49b-a099-11e8-83eb-56137984902b,2017/7/21,000001_SSE,上证指数,指数,3236.5881,3237.9817,3247.7122,3231.9556,206003251,221957000000.00 ,3244.8647,-6.883,-0.2121,0,0,0,0
3f66c49c-a099-11e8-be2b-56137984902b,2017/7/20,000001_SSE,上证指数,指数,3227.5056,3244.8647,3246.236,3225.4328,232108392,245825000000.00 ,3230.9762,13.8885,0.4299,0,0,0,0
3f66c49d-a099-11e8-b473-56137984902b,2017/7/19,000001_SSE,上证指数,指数,3181.4015,3230.9762,3232.9408,3179.73,272420726,269771000000.00 ,3187.5672,43.409,1.3618,0,0,0,0
3f66c49e-a099-11e8-a49f-56137984902b,2017/7/18,000001_SSE,上证指数,指数,3159.7318,3187.5672,3187.671,3150.1284,190623060,196452000000.00 ,3176.4648,11.1024,0.3495,0,0,0,0
3f66c49f-a099-11e8-89f4-56137984902b,2017/7/17,000001_SSE,上证指数,指数,3219.7914,3176.4648,3230.354,3139.5035,266205274,274653000000.00 ,3222.4168,-45.952,-1.426,0,0,0,0
3f66c4a0-a099-11e8-961e-56137984902b,2017/7/14,000001_SSE,上证指数,指数,3212.0316,3222.4168,3222.9784,3204.8529,160126773,174312000000.00 ,3218.1632,4.2536,0.1322,0,0,0,0
3f66c4a1-a099-11e8-90a2-56137984902b,2017/7/13,000001_SSE,上证指数,指数,3192.3615,3218.1632,3219.2683,3190.3393,195303611,210821000000.00 ,3197.5439,20.6193,0.6448,0,0,0,0
3f66c4a2-a099-11e8-989c-56137984902b,2017/7/12,000001_SSE,上证指数,指数,3201.9292,3197.5439,3215.1962,3177.9346,186900880,201800000000.00 ,3203.0375,-5.4936,-0.1715,0,0,0,0
3f66c4a3-a099-11e8-a72e-56137984902b,2017/7/11,000001_SSE,上证指数,指数,3201.5169,3203.0375,3226.908,3199.2235,187837262,205493000000.00 ,3212.6319,-9.5944,-0.2986,0,0,0,0
3f66c4a4-a099-11e8-a169-56137984902b,2017/7/10,000001_SSE,上证指数,指数,3208.4627,3212.6319,3223.3402,3203.2089,198928010,222828000000.00 ,3217.9567,-5.3248,-0.1655,0,0,0,0
3f66c4a5-a099-11e8-9bb6-56137984902b,2017/7/7,000001_SSE,上证指数,指数,3203.8225,3217.9567,3219.5232,3195.2905,176715416,201938000000.00 ,3212.444,5.5127,0.1716,0,0,0,0
3f66c4a6-a099-11e8-9758-56137984902b,2017/7/6,000001_SSE,上证指数,指数,3203.8631,3212.444,3215.95,3188.7733,175809287,202210000000.00 ,3207.1342,5.3098,0.1656,0,0,0,0
3f66c4a7-a099-11e8-b79c-56137984902b,2017/7/5,000001_SSE,上证指数,指数,3179.2169,3207.1342,3207.3095,3174.7081,148296483,173554000000.00 ,3182.8039,24.3303,0.7644,0,0,0,0
3f66c4a8-a099-11e8-a214-56137984902b,2017/7/4,000001_SSE,上证指数,指数,3192.8885,3182.8039,3193.0644,3174.314,141114967,161455000000.00 ,3195.9116,-13.1077,-0.4101,0,0,0,0
3f66c4a9-a099-11e8-96b9-56137984902b,2017/7/3,000001_SSE,上证指数,指数,3191.9982,3195.9116,3196.2861,3177.0244,140305717,156576000000.00 ,3192.4269,3.4847,0.1092,0,0,0,0
3f66c4aa-a099-11e8-bbce-56137984902b,2017/6/30,000001_SSE,上证指数,指数,3176.9481,3192.4269,3193.2411,3171.5703,121464543,143196000000.00 ,3188.0625,4.3644,0.1369,0,0,0,0
3f66c4ab-a099-11e8-81ac-56137984902b,2017/6/29,000001_SSE,上证指数,指数,3174.9811,3188.0625,3188.7741,3174.2835,128755470,147250000000.00 ,3173.2014,14.8611,0.4683,0,0,0,0
3f66c4ac-a099-11e8-988d-56137984902b,2017/6/28,000001_SSE,上证指数,指数,3183.6334,3173.2014,3193.4397,3170.7859,146516720,162081000000.00 ,3191.1969,-17.9955,-0.5639,0,0,0,0
3f66c4ad-a099-11e8-b74b-56137984902b,2017/6/27,000001_SSE,上证指数,指数,3183.4198,3191.1969,3193.4613,3172.463,148201198,167524000000.00 ,3185.4439,5.753,0.1806,0,0,0,0
3f66eae8-a099-11e8-b101-56137984902b,2017/6/26,000001_SSE,上证指数,指数,3157.0022,3185.4439,3187.8891,3156.9767,173579211,200419000000.00 ,3157.873,27.5709,0.8731,0,0,0,0
3f66eae9-a099-11e8-beb8-56137984902b,2017/6/23,000001_SSE,上证指数,指数,3138.4441,3157.873,3158.0474,3118.0946,154843648,175569000000.00 ,3147.4532,10.4198,0.3311,0,0,0,0
3f66eaea-a099-11e8-bbbf-56137984902b,2017/6/22,000001_SSE,上证指数,指数,3152.2424,3147.4532,3186.9823,3146.6432,191344006,220438000000.00 ,3156.2118,-8.7586,-0.2775,0,0,0,0
3f66eaeb-a099-11e8-9042-56137984902b,2017/6/21,000001_SSE,上证指数,指数,3148.9861,3156.2118,3157.0275,3132.6173,136688268,167048000000.00 ,3140.0136,16.1982,0.5159,0,0,0,0
3f66eaec-a099-11e8-94c2-56137984902b,2017/6/20,000001_SSE,上证指数,指数,3148.0187,3140.0136,3150.4646,3134.6106,141191802,162498000000.00 ,3144.3739,-4.3603,-0.1387,0,0,0,0
3f66eaed-a099-11e8-ada9-56137984902b,2017/6/19,000001_SSE,上证指数,指数,3122.1578,3144.3739,3146.7703,3121.7787,134891758,151742000000.00 ,3123.1662,21.2077,0.679,0,0,0,0
3f66eaee-a099-11e8-82d8-56137984902b,2017/6/16,000001_SSE,上证指数,指数,3126.3728,3123.1662,3134.2511,3117.8567,129652758,149215000000.00 ,3132.4863,-9.3201,-0.2975,0,0,0,0
3f66eaef-a099-11e8-b3c4-56137984902b,2017/6/15,000001_SSE,上证指数,指数,3125.5865,3132.4863,3137.5854,3117.084,146954245,171125000000.00 ,3130.674,1.8123,0.0579,0,0,0,0
3f66eaf0-a099-11e8-9ad2-56137984902b,2017/6/14,000001_SSE,上证指数,指数,3146.748,3130.674,3149.1731,3125.3546,138347042,160641000000.00 ,3153.7429,-23.0689,-0.7315,0,0,0,0
3f66eaf1-a099-11e8-8f8b-56137984902b,2017/6/13,000001_SSE,上证指数,指数,3134.0089,3153.7429,3155.9895,3131.0431,128318279,148458000000.00 ,3139.8766,13.8663,0.4416,0,0,0,0
3f66eaf2-a099-11e8-98df-56137984902b,2017/6/12,000001_SSE,上证指数,指数,3149.5266,3139.8766,3164.9502,3135.314,146729425,170223000000.00 ,3158.4004,-18.5238,-0.5865,0,0,0,0
3f66eaf3-a099-11e8-8baa-56137984902b,2017/6/9,000001_SSE,上证指数,指数,3147.4533,3158.4004,3165.9197,3146.1075,160136334,181585000000.00 ,3150.3336,8.0668,0.2561,0,0,0,0
3f66eaf4-a099-11e8-93b9-56137984902b,2017/6/8,000001_SSE,上证指数,指数,3136.4705,3150.3336,3153.2635,3132.8278,152277659,178894000000.00 ,3140.3249,10.0087,0.3187,0,0,0,0
3f66eaf5-a099-11e8-a454-56137984902b,2017/6/7,000001_SSE,上证指数,指数,3101.7608,3140.3249,3140.7743,3098.9508,173229014,194288000000.00 ,3102.126,38.1989,1.2314,0,0,0,0
3f66eaf6-a099-11e8-8ce4-56137984902b,2017/6/6,000001_SSE,上证指数,指数,3084.5401,3102.126,3102.8633,3078.7872,113439963,127805000000.00 ,3091.6561,10.4699,0.3387,0,0,0,0
3f66eaf7-a099-11e8-a938-56137984902b,2017/6/5,000001_SSE,上证指数,指数,3102.1095,3091.6561,3105.5056,3084.8301,132570300,143430000000.00 ,3105.54,-13.8839,-0.4471,0,0,0,0
3f66eaf8-a099-11e8-8361-56137984902b,2017/6/2,000001_SSE,上证指数,指数,3094.2253,3105.54,3110.3891,3081.8485,142504925,154454000000.00 ,3102.6232,2.9168,0.094,0,0,0,0
3f66eaf9-a099-11e8-bedf-56137984902b,2017/6/1,000001_SSE,上证指数,指数,3108.4214,3102.6232,3113.5212,3097.6794,163015719,180783000000.00 ,3117.1778,-14.5546,-0.4669,0,0,0,0
3f66eafa-a099-11e8-a777-56137984902b,2017/5/31,000001_SSE,上证指数,指数,3125.3252,3117.1778,3143.2787,3111.5563,152950430,177913000000.00 ,3110.0587,7.1191,0.2289,0,0,0,0
3f66eafb-a099-11e8-b6ba-56137984902b,2017/5/26,000001_SSE,上证指数,指数,3101.2864,3110.0587,3120.6627,3100.3877,155923486,171327000000.00 ,3107.8311,2.2276,0.0717,0,0,0,0
3f66eafc-a099-11e8-bfed-56137984902b,2017/5/25,000001_SSE,上证指数,指数,3055.3425,3107.8311,3114.6578,3052.8309,191391841,201910000000.00 ,3064.0759,43.7552,1.428,0,0,0,0
3f66eafd-a099-11e8-bc3c-56137984902b,2017/5/24,000001_SSE,上证指数,指数,3047.5681,3064.0759,3064.8127,3022.3026,139813353,152669000000.00 ,3061.947,2.1289,0.0695,0,0,0,0
3f66eafe-a099-11e8-8019-56137984902b,2017/5/23,000001_SSE,上证指数,指数,3069.3935,3061.947,3084.2352,3050.8423,178310599,195074000000.00 ,3075.6756,-13.7286,-0.4464,0,0,0,0
3f66eaff-a099-11e8-83f5-56137984902b,2017/5/22,000001_SSE,上证指数,指数,3087.1705,3075.6756,3103.9375,3063.1529,153683730,170341000000.00 ,3090.6309,-14.9553,-0.4839,0,0,0,0
3f66eb00-a099-11e8-9209-56137984902b,2017/5/19,000001_SSE,上证指数,指数,3086.7054,3090.6309,3095.4826,3081.278,129635230,150164000000.00 ,3090.139,0.4919,0.0159,0,0,0,0
